service_id,date,exception_type
HVI:Timetable:1,20200305,2
HVI:Timetable:1,20200306,2
HVI:Timetable:1,20200307,2
HVI:Timetable:1,20200308,2
HVI:Timetable:1,20200309,2
HVI:Timetable:1,20200310,2
HVI:Timetable:1,20200311,2
HVI:Timetable:1,20200312,2
HVI:Timetable:1,20200313,2
HVI:Timetable:1,20200314,2
HVI:Timetable:1,20200315,2
HVI:Timetable:1,20200316,2
HVI:Timetable:1,20200317,2
HVI:Timetable:1,20200318,2
HVI:Timetable:1,20200319,2
HVI:Timetable:1,20200320,2
HVI:Timetable:1,20200321,2
HVI:Timetable:1,20200322,2
HVI:Timetable:1,20200323,2
HVI:Timetable:1,20200324,2
HVI:Timetable:1,20200325,2
HVI:Timetable:1,20200326,2
HVI:Timetable:1,20200327,2
HVI:Timetable:1,20200328,2
HVI:Timetable:1,20200329,2
HVI:Timetable:1,20200330,2
HVI:Timetable:1,20200331,2
HVI:Timetable:1,20200401,2
HVI:Timetable:1,20200402,2
HVI:Timetable:1,20200403,2
HVI:Timetable:1,20200404,2
HVI:Timetable:1,20200405,2
HVI:Timetable:1,20200406,2
HVI:Timetable:1,20200407,2
HVI:Timetable:1,20200408,2
HVI:Timetable:1,20200409,2
HVI:Timetable:1,20200410,2
HVI:Timetable:1,20200411,2
HVI:Timetable:1,20200412,2
HVI:Timetable:1,20200413,2
HVI:Timetable:1,20200414,2
HVI:Timetable:1,20200415,2
HVI:Timetable:1,20200416,2
HVI:Timetable:1,20200417,2
HVI:Timetable:1,20200418,2
HVI:Timetable:1,20200419,2
HVI:Timetable:1,20200420,2
HVI:Timetable:1,20200421,2
HVI:Timetable:1,20200422,2
HVI:Timetable:1,20200423,2
HVI:Timetable:1,20200424,2
HVI:Timetable:1,20200425,2
HVI:Timetable:1,20200426,2
HVI:Timetable:1,20200427,2
HVI:Timetable:1,20200428,2
HVI:Timetable:1,20200429,2
HVI:Timetable:1,20200430,2
HVI:Timetable:1,20200501,2
HVI:Timetable:1,20200502,2
HVI:Timetable:1,20200503,2
HVI:Timetable:1,20200504,2
HVI:Timetable:1,20200505,2
HVI:Timetable:1,20200506,2
HVI:Timetable:1,20200507,2
HVI:Timetable:1,20200508,2
HVI:Timetable:1,20200509,2
HVI:Timetable:1,20200510,2
HVI:Timetable:1,20200511,2
HVI:Timetable:1,20200512,2
HVI:Timetable:1,20200513,2
HVI:Timetable:1,20200514,2
HVI:Timetable:1,20200515,2
HVI:Timetable:1,20200516,2
HVI:Timetable:1,20200517,2
HVI:Timetable:1,20200518,2
HVI:Timetable:1,20200519,2
HVI:Timetable:1,20200520,2
HVI:Timetable:1,20200521,2
HVI:Timetable:1,20200522,2
HVI:Timetable:1,20200523,2
HVI:Timetable:1,20200524,2
HVI:Timetable:1,20200525,2
HVI:Timetable:1,20200526,2
HVI:Timetable:1,20200527,2
HVI:Timetable:1,20200528,2
HVI:Timetable:1,20200529,2
HVI:Timetable:1,20200530,2
HVI:Timetable:1,20200531,2
HVI:Timetable:1,20200601,2
HVI:Timetable:1,20200602,2
HVI:Timetable:1,20200603,2
HVI:Timetable:1,20200604,2
HVI:Timetable:1,20200605,2
HVI:Timetable:1,20200606,2
HVI:Timetable:1,20200607,2
HVI:Timetable:1,20200608,2
HVI:Timetable:1,20200609,2
HVI:Timetable:1,20200610,2
HVI:Timetable:1,20200611,2
HVI:Timetable:1,20200612,2
HVI:Timetable:1,20200613,2
HVI:Timetable:1,20200614,2
HVI:Timetable:1,20200615,2
HVI:Timetable:1,20200616,2
HVI:Timetable:1,20200617,2
HVI:Timetable:1,20200618,2
HVI:Timetable:1,20200619,2
HVI:Timetable:1,20200620,2
HVI:Timetable:1,20200621,2
HVI:Timetable:1,20200622,2
HVI:Timetable:1,20200623,2
HVI:Timetable:1,20200624,2
HVI:Timetable:1,20200625,2
HVI:Timetable:1,20200626,2
HVI:Timetable:1,20200627,2
HVI:Timetable:1,20200628,2
HVI:Timetable:1,20200629,2
HVI:Timetable:1,20200630,2
HVI:Timetable:1,20200701,2
HVI:Timetable:1,20200702,2
HVI:Timetable:1,20200703,2
HVI:Timetable:1,20200704,2
HVI:Timetable:1,20200705,2
HVI:Timetable:1,20200706,2
HVI:Timetable:1,20200707,2
HVI:Timetable:1,20200708,2
HVI:Timetable:1,20200709,2
HVI:Timetable:1,20200710,2
HVI:Timetable:1,20200711,2
HVI:Timetable:1,20200712,2
HVI:Timetable:1,20200713,2
HVI:Timetable:1,20200714,2
HVI:Timetable:1,20200715,2
HVI:Timetable:1,20200716,2
HVI:Timetable:1,20200717,2
HVI:Timetable:1,20200718,2
HVI:Timetable:1,20200719,2
HVI:Timetable:1,20200720,2
HVI:Timetable:1,20200721,2
HVI:Timetable:1,20200722,2
HVI:Timetable:2,20191101,2
